SANCTUARY,date,SST_0,Temperature
FKNMS,X2000010100_water_temp_0,3006.3172132,23.0063172132
FKNMS,X2000010200_water_temp_0,3300.0759677,23.3000759677
FKNMS,X2000010300_water_temp_0,3550.2601669,23.5502601669
FKNMS,X2000010400_water_temp_0,3819.6260295,23.8196260295
FKNMS,X2000010500_water_temp_0,4405.7008027,24.4057008027
FKNMS,X2000010600_water_temp_0,3990.9089929,23.9909089929
FKNMS,X2000010700_water_temp_0,4250.0165317,24.2500165317
FKNMS,X2000010800_water_temp_0,4193.228103,24.193228103
FKNMS,X2000010900_water_temp_0,4330.7397452,24.3307397452
FKNMS,X2000011000_water_temp_0,4399.1682726,24.3991682726
FKNMS,X2000011100_water_temp_0,4556.5480078,24.5565480078
FKNMS,X2000011200_water_temp_0,4634.7866709,24.6347866709
FKNMS,X2000011300_water_temp_0,4285.0724805,24.2850724805
FKNMS,X2000011400_water_temp_0,4366.2476324,24.3662476324
FKNMS,X2000011500_water_temp_0,3863.2447305,23.8632447305
FKNMS,X2000011600_water_temp_0,3150.8419461,23.1508419461
FKNMS,X2000011700_water_temp_0,2986.1071572,22.9861071572
FKNMS,X2000011800_water_temp_0,2901.1281266,22.9011281266
FKNMS,X2000011900_water_temp_0,2839.4428899,22.8394428899
FKNMS,X2000012000_water_temp_0,2733.5760269,22.7335760269
FKNMS,X2000012100_water_temp_0,2391.3872441,22.3913872441
FKNMS,X2000012200_water_temp_0,2087.454938,22.087454938
FKNMS,X2000012300_water_temp_0,2320.1340539,22.3201340539
FKNMS,X2000012400_water_temp_0,2954.6238383,22.9546238383
FKNMS,X2000012500_water_temp_0,2636.2150934,22.6362150934
FKNMS,X2000012600_water_temp_0,1745.9277226,21.7459277226
FKNMS,X2000012700_water_temp_0,1381.056886,21.381056886
FKNMS,X2000012800_water_temp_0,1355.7808326,21.3557808326
FKNMS,X2000012900_water_temp_0,1759.2581284,21.7592581284
FKNMS,X2000013000_water_temp_0,2540.918224,22.540918224
FKNMS,X2000013100_water_temp_0,2944.3347298,22.9443347298
FKNMS,X2000020100_water_temp_0,3388.9127336,23.3889127336
FKNMS,X2000020200_water_temp_0,3069.1705585,23.0691705585
FKNMS,X2000020300_water_temp_0,3197.1461717,23.197146171700002
FKNMS,X2000020400_water_temp_0,3691.8948184,23.6918948184
FKNMS,X2000020500_water_temp_0,3320.7667047,23.3207667047
FKNMS,X2000020600_water_temp_0,2743.0577748,22.7430577748
FKNMS,X2000020700_water_temp_0,2451.4578058,22.4514578058
FKNMS,X2000020800_water_temp_0,2586.9991969,22.5869991969
FKNMS,X2000020900_water_temp_0,2341.6257185,22.3416257185
FKNMS,X2000021000_water_temp_0,1785.2312621,21.7852312621
FKNMS,X2000021100_water_temp_0,1836.2509692,21.8362509692
FKNMS,X2000021200_water_temp_0,1983.9982153,21.9839982153
FKNMS,X2000021300_water_temp_0,2624.9789098,22.6249789098
FKNMS,X2000021400_water_temp_0,2646.0965426,22.6460965426
FKNMS,X2000021500_water_temp_0,3046.6058845,23.0466058845
FKNMS,X2000021600_water_temp_0,3073.8857161,23.0738857161
FKNMS,X2000021700_water_temp_0,3130.9927737,23.1309927737
FKNMS,X2000021800_water_temp_0,3374.444853,23.374444853
FKNMS,X2000021900_water_temp_0,3736.998318,23.736998318
FKNMS,X2000022000_water_temp_0,4122.1686738,24.1221686738
FKNMS,X2000022100_water_temp_0,4038.7857867,24.0387857867
FKNMS,X2000022200_water_temp_0,3496.1413192,23.4961413192
FKNMS,X2000022300_water_temp_0,3400.0945063999998,23.4000945064
FKNMS,X2000022400_water_temp_0,3426.3344544,23.4263344544
FKNMS,X2000022500_water_temp_0,3502.4577137,23.5024577137
FKNMS,X2000022600_water_temp_0,3606.1614577,23.6061614577
FKNMS,X2000022700_water_temp_0,3730.5674455,23.7305674455
FKNMS,X2000022800_water_temp_0,3950.9265088,23.950926508800002
FKNMS,X2000022900_water_temp_0,4376.2117255,24.3762117255
FKNMS,X2000030100_water_temp_0,4259.601051,24.259601051
FKNMS,X2000030200_water_temp_0,4640.0709682,24.6400709682
FKNMS,X2000030300_water_temp_0,4630.0236352,24.6300236352
FKNMS,X2000030400_water_temp_0,4486.088428,24.486088428000002
FKNMS,X2000030500_water_temp_0,4144.5058926,24.1445058926
FKNMS,X2000030600_water_temp_0,4196.2784011,24.196278401100002
FKNMS,X2000030700_water_temp_0,3908.1162751,23.9081162751
FKNMS,X2000030800_water_temp_0,3894.8773347,23.8948773347
FKNMS,X2000030900_water_temp_0,3815.9623755,23.8159623755
FKNMS,X2000031000_water_temp_0,3833.2630052,23.8332630052
FKNMS,X2000031100_water_temp_0,4081.4534575,24.0814534575
FKNMS,X2000031200_water_temp_0,4307.6406269,24.3076406269
FKNMS,X2000031300_water_temp_0,4575.6068938,24.5756068938
FKNMS,X2000031400_water_temp_0,4394.6165268,24.3946165268
FKNMS,X2000031500_water_temp_0,4441.0331235,24.4410331235
FKNMS,X2000031600_water_temp_0,4559.1215174,24.5591215174
FKNMS,X2000031700_water_temp_0,4818.2616823,24.8182616823
FKNMS,X2000031800_water_temp_0,5504.9574063,25.5049574063
FKNMS,X2000031900_water_temp_0,4942.2903056,24.9422903056
FKNMS,X2000032000_water_temp_0,5079.4866807,25.0794866807
FKNMS,X2000032100_water_temp_0,5695.3874176,25.6953874176
FKNMS,X2000032200_water_temp_0,5668.7188527,25.6687188527
FKNMS,X2000032300_water_temp_0,5806.9875651,25.806987565100002
FKNMS,X2000032400_water_temp_0,5359.9451422,25.3599451422
FKNMS,X2000032500_water_temp_0,5154.499277,25.154499277
FKNMS,X2000032600_water_temp_0,5132.7232988,25.1327232988
FKNMS,X2000032700_water_temp_0,5540.9242687,25.5409242687
FKNMS,X2000032800_water_temp_0,4993.2668238,24.9932668238
FKNMS,X2000032900_water_temp_0,5209.4872334,25.2094872334
FKNMS,X2000033000_water_temp_0,5276.8127382,25.2768127382
