SANCTUARY,date,SST_0,Temperature
FKNMS,X1994010100_water_temp_0,3488.8811117,23.4888811117
FKNMS,X1994010200_water_temp_0,3821.2440796,23.8212440796
FKNMS,X1994010300_water_temp_0,3914.8332132,23.9148332132
FKNMS,X1994010400_water_temp_0,3780.7205211,23.7807205211
FKNMS,X1994010500_water_temp_0,2789.7074877,22.7897074877
FKNMS,X1994010600_water_temp_0,2284.4590741,22.2844590741
FKNMS,X1994010700_water_temp_0,2452.7540254,22.4527540254
FKNMS,X1994010800_water_temp_0,2717.8663981,22.7178663981
FKNMS,X1994010900_water_temp_0,2495.139347,22.495139347
FKNMS,X1994011000_water_temp_0,2026.8675016,22.0268675016
FKNMS,X1994011100_water_temp_0,2255.2996928,22.2552996928
FKNMS,X1994011200_water_temp_0,2713.005817,22.713005817
FKNMS,X1994011300_water_temp_0,3450.2148183,23.4502148183
FKNMS,X1994011400_water_temp_0,3267.2584966,23.2672584966
FKNMS,X1994011500_water_temp_0,2458.7562177,22.4587562177
FKNMS,X1994011600_water_temp_0,2101.6294478,22.1016294478
FKNMS,X1994011700_water_temp_0,2076.5427166,22.0765427166
FKNMS,X1994011800_water_temp_0,2524.355581,22.524355581000002
FKNMS,X1994011900_water_temp_0,2442.8164792,22.4428164792
FKNMS,X1994012000_water_temp_0,1979.9696427,21.9799696427
FKNMS,X1994012100_water_temp_0,2155.9624308,22.1559624308
FKNMS,X1994012200_water_temp_0,2336.1396781,22.3361396781
FKNMS,X1994012300_water_temp_0,2532.432437,22.532432437
FKNMS,X1994012400_water_temp_0,2575.8660973,22.5758660973
FKNMS,X1994012500_water_temp_0,2633.2642993,22.6332642993
FKNMS,X1994012600_water_temp_0,3008.1091154,23.0081091154
FKNMS,X1994012700_water_temp_0,3267.3881499,23.2673881499
FKNMS,X1994012800_water_temp_0,3620.87573,23.62087573
FKNMS,X1994012900_water_temp_0,4016.0293901,24.0160293901
FKNMS,X1994013000_water_temp_0,4332.1359965,24.3321359965
FKNMS,X1994013100_water_temp_0,4447.5777639,24.4475777639
FKNMS,X1994020100_water_temp_0,4014.9680698,24.0149680698
