SANCTUARY,date,SST_0,Temperature
FKNMS,X1996010100_water_temp_0,4405.3979535,24.4053979535
FKNMS,X1996010200_water_temp_0,4441.8579804,24.441857980400002
FKNMS,X1996010300_water_temp_0,4759.533392,24.759533392
FKNMS,X1996010400_water_temp_0,4193.9142591,24.1939142591
FKNMS,X1996010500_water_temp_0,3634.8656491,23.6348656491
FKNMS,X1996010600_water_temp_0,3342.12697,23.34212697
FKNMS,X1996010700_water_temp_0,3317.3403192,23.3173403192
FKNMS,X1996010800_water_temp_0,3096.2438254,23.0962438254
FKNMS,X1996010900_water_temp_0,1518.6187169,21.5186187169
FKNMS,X1996011000_water_temp_0,1209.0669101,21.2090669101
FKNMS,X1996011100_water_temp_0,1193.8435971,21.1938435971
FKNMS,X1996011200_water_temp_0,1262.3156157,21.2623156157
FKNMS,X1996011300_water_temp_0,978.1347774,20.9781347774
FKNMS,X1996011400_water_temp_0,561.4369815,20.5614369815
FKNMS,X1996011500_water_temp_0,1002.9069813,21.0029069813
FKNMS,X1996011600_water_temp_0,1204.8154109,21.2048154109
FKNMS,X1996011700_water_temp_0,1598.7320457,21.5987320457
FKNMS,X1996011800_water_temp_0,2391.6681754,22.3916681754
FKNMS,X1996011900_water_temp_0,3074.3704011,23.0743704011
FKNMS,X1996012000_water_temp_0,2988.8408979,22.9888408979
FKNMS,X1996012100_water_temp_0,2303.944585,22.303944585
FKNMS,X1996012200_water_temp_0,2235.3098721,22.2353098721
FKNMS,X1996012300_water_temp_0,2151.6165393,22.1516165393
FKNMS,X1996012400_water_temp_0,2735.0936741,22.7350936741
FKNMS,X1996012500_water_temp_0,3323.5216329,23.3235216329
FKNMS,X1996012600_water_temp_0,3034.7442011,23.0347442011
FKNMS,X1996012700_water_temp_0,3448.1562154,23.4481562154
FKNMS,X1996012800_water_temp_0,3987.151686,23.987151686
FKNMS,X1996012900_water_temp_0,3318.4514429,23.3184514429
FKNMS,X1996013000_water_temp_0,3530.711714,23.530711714
FKNMS,X1996013100_water_temp_0,3837.6302399,23.8376302399
FKNMS,X1996020100_water_temp_0,4368.770015,24.368770015
FKNMS,X1996020200_water_temp_0,3900.7034652,23.9007034652
FKNMS,X1996020300_water_temp_0,3983.0411393,23.9830411393
FKNMS,X1996020400_water_temp_0,3614.5994663,23.6145994663
FKNMS,X1996020500_water_temp_0,2272.0735673,22.2720735673
FKNMS,X1996020600_water_temp_0,1232.1522028,21.232152202800002
FKNMS,X1996020700_water_temp_0,1216.2636965,21.2162636965
FKNMS,X1996020900_water_temp_0,2191.0140408,22.1910140408
FKNMS,X1996021000_water_temp_0,2129.6570899,22.1296570899
FKNMS,X1996021100_water_temp_0,2231.5059278,22.2315059278
FKNMS,X1996021200_water_temp_0,2639.8583641,22.6398583641
FKNMS,X1996021300_water_temp_0,1461.8102292,21.4618102292
FKNMS,X1996021400_water_temp_0,1434.4662417,21.4344662417
FKNMS,X1996021500_water_temp_0,1361.8297616,21.3618297616
FKNMS,X1996021600_water_temp_0,1393.561136,21.393561136
FKNMS,X1996021700_water_temp_0,835.877601,20.835877601
FKNMS,X1996021800_water_temp_0,309.1088696,20.3091088696
FKNMS,X1996021900_water_temp_0,827.0192752,20.8270192752
FKNMS,X1996022000_water_temp_0,1022.2454938,21.0222454938
FKNMS,X1996022100_water_temp_0,2152.8429675,22.1528429675
FKNMS,X1996022200_water_temp_0,2493.3111928,22.4933111928
FKNMS,X1996022300_water_temp_0,2181.5933947,22.1815933947
FKNMS,X1996022400_water_temp_0,2539.1569825,22.5391569825
FKNMS,X1996022500_water_temp_0,2933.2384331,22.9332384331
FKNMS,X1996022600_water_temp_0,2627.699118,22.627699118
FKNMS,X1996022700_water_temp_0,2797.1250944,22.797125094400002
FKNMS,X1996022800_water_temp_0,3243.2609344,23.2432609344
FKNMS,X1996022900_water_temp_0,3796.3865781,23.796386578099998
FKNMS,X1996030100_water_temp_0,3813.3618432,23.8133618432
FKNMS,X1996030200_water_temp_0,3936.063246,23.936063246
FKNMS,X1996030300_water_temp_0,3106.6099767,23.1066099767
FKNMS,X1996030400_water_temp_0,2632.2049966,22.6322049966
FKNMS,X1996030500_water_temp_0,2839.0219024,22.8390219024
FKNMS,X1996030600_water_temp_0,3319.3287655,23.3193287655
FKNMS,X1996030700_water_temp_0,3777.7987467,23.7777987467
FKNMS,X1996030800_water_temp_0,4342.8710233,24.3428710233
FKNMS,X1996030900_water_temp_0,3065.7460854,23.0657460854
FKNMS,X1996031000_water_temp_0,2283.6986589,22.2836986589
FKNMS,X1996031100_water_temp_0,1890.5342852,21.8905342852
FKNMS,X1996031200_water_temp_0,1528.7253157,21.5287253157
