SANCTUARY,date,SST_0,Temperature
FKNMS,X2001010100_water_temp_0,1775.5736672,21.7755736672
FKNMS,X2001010200_water_temp_0,1616.754069,21.616754069
FKNMS,X2001010300_water_temp_0,1823.7231226,21.8237231226
FKNMS,X2001010400_water_temp_0,1981.8244352,21.9818244352
FKNMS,X2001010500_water_temp_0,1400.2194409,21.4002194409
FKNMS,X2001010600_water_temp_0,1332.8905913,21.3328905913
FKNMS,X2001010700_water_temp_0,916.1339232,20.9161339232
FKNMS,X2001010800_water_temp_0,1248.0687012,21.2480687012
FKNMS,X2001010900_water_temp_0,1989.1295692,21.9891295692
FKNMS,X2001011000_water_temp_0,1200.8663488,21.200866348799998
FKNMS,X2001011100_water_temp_0,932.8728853,20.9328728853
FKNMS,X2001011200_water_temp_0,1586.8280053,21.5868280053
FKNMS,X2001011300_water_temp_0,1878.0076093,21.8780076093
FKNMS,X2001011400_water_temp_0,1440.9463583,21.4409463583
FKNMS,X2001011500_water_temp_0,1781.9936049,21.7819936049
FKNMS,X2001011600_water_temp_0,2191.1121401,22.1911121401
FKNMS,X2001011700_water_temp_0,2181.9886073,22.1819886073
FKNMS,X2001011800_water_temp_0,2643.9695185,22.6439695185
FKNMS,X2001011900_water_temp_0,2736.2428185,22.7362428185
FKNMS,X2001012000_water_temp_0,3039.2997386,23.0392997386
FKNMS,X2001012100_water_temp_0,2692.409178,22.692409178
FKNMS,X2001012200_water_temp_0,1902.9943788,21.9029943788
FKNMS,X2001012300_water_temp_0,1266.4583237,21.2664583237
FKNMS,X2001012400_water_temp_0,276.9883428,20.2769883428
FKNMS,X2001012500_water_temp_0,183.0970817,20.1830970817
FKNMS,X2001012600_water_temp_0,-281.0064065,19.7189935935
FKNMS,X2001012700_water_temp_0,-202.1041838,19.7978958162
FKNMS,X2001012800_water_temp_0,171.7643506,20.1717643506
FKNMS,X2001012900_water_temp_0,617.0029951,20.617002995100002
FKNMS,X2001013000_water_temp_0,1816.5412168,21.8165412168
FKNMS,X2001013100_water_temp_0,2225.5350516,22.2255350516
FKNMS,X2001020100_water_temp_0,2778.6723832,22.7786723832
FKNMS,X2001020200_water_temp_0,2678.4544667,22.6784544667
FKNMS,X2001020300_water_temp_0,3320.7000818,23.3207000818
FKNMS,X2001020400_water_temp_0,2809.5976945,22.8095976945
FKNMS,X2001020500_water_temp_0,2965.7399634,22.9657399634
FKNMS,X2001020600_water_temp_0,2375.0345055,22.3750345055
FKNMS,X2001020700_water_temp_0,2728.3953531,22.7283953531
FKNMS,X2001020800_water_temp_0,2881.6457726,22.8816457726
FKNMS,X2001020900_water_temp_0,2847.4324745,22.8474324745
FKNMS,X2001021000_water_temp_0,2992.363138,22.992363138
FKNMS,X2001021100_water_temp_0,3413.5768543,23.4135768543
FKNMS,X2001021200_water_temp_0,3831.3475762,23.8313475762
FKNMS,X2001021300_water_temp_0,3883.1673858,23.8831673858
FKNMS,X2001021400_water_temp_0,3899.2478521,23.8992478521
FKNMS,X2001021500_water_temp_0,4017.176485,24.017176485
FKNMS,X2001021600_water_temp_0,4311.5330465,24.3115330465
FKNMS,X2001021700_water_temp_0,4360.3209842,24.3603209842
FKNMS,X2001021800_water_temp_0,4764.2729417,24.7642729417
FKNMS,X2001021900_water_temp_0,4067.3233216,24.0673233216
FKNMS,X2001022000_water_temp_0,3470.7578058,23.470757805799998
FKNMS,X2001022100_water_temp_0,3556.1533215,23.5561533215
FKNMS,X2001022200_water_temp_0,3757.0669267,23.7570669267
FKNMS,X2001022300_water_temp_0,3840.8549667,23.8408549667
FKNMS,X2001022400_water_temp_0,3605.2375561,23.6052375561
FKNMS,X2001022500_water_temp_0,3660.9067976,23.6609067976
FKNMS,X2001022600_water_temp_0,3677.593861,23.677593861
FKNMS,X2001022700_water_temp_0,4207.431024,24.207431024
FKNMS,X2001022800_water_temp_0,4202.7704639,24.202770463900002
FKNMS,X2001030100_water_temp_0,4686.4555979,24.6864555979
FKNMS,X2001030200_water_temp_0,4949.5892589,24.949589258899998
FKNMS,X2001030300_water_temp_0,4720.7534913,24.720753491300002
FKNMS,X2001030400_water_temp_0,4571.6418914,24.5716418914
FKNMS,X2001030500_water_temp_0,4590.7572425,24.5907572425
FKNMS,X2001030600_water_temp_0,3794.3629039,23.7943629039
FKNMS,X2001030700_water_temp_0,3004.4240386,23.0044240386
FKNMS,X2001030800_water_temp_0,2547.8202718,22.5478202718
FKNMS,X2001030900_water_temp_0,2649.0636756,22.6490636756
FKNMS,X2001031000_water_temp_0,2648.906202,22.648906202
FKNMS,X2001031100_water_temp_0,2874.1538973,22.8741538973
FKNMS,X2001031200_water_temp_0,3165.9689953,23.1659689953
FKNMS,X2001031300_water_temp_0,3573.0887659,23.5730887659
FKNMS,X2001031400_water_temp_0,4500.8731963,24.5008731963
FKNMS,X2001031500_water_temp_0,4197.7554711,24.197755471100002
FKNMS,X2001031600_water_temp_0,4683.9502573,24.6839502573
FKNMS,X2001031700_water_temp_0,5216.60497,25.21660497
FKNMS,X2001031800_water_temp_0,4914.7709537,24.9147709537
FKNMS,X2001031900_water_temp_0,5423.2076883,25.4232076883
FKNMS,X2001032000_water_temp_0,4966.6741982,24.9666741982
FKNMS,X2001032100_water_temp_0,4508.414751,24.508414751
