SANCTUARY,date,SST_0,Temperature
FKNMS,X2008010100_water_temp_0,5682.2311,25.6822311
FKNMS,X2008010200_water_temp_0,5397.1446992,25.3971446992
FKNMS,X2008010300_water_temp_0,4035.3878393,24.0353878393
FKNMS,X2008010400_water_temp_0,2913.2003017,22.9132003017
FKNMS,X2008010500_water_temp_0,2917.4311297,22.9174311297
FKNMS,X2008010600_water_temp_0,3033.0680261,23.0330680261
FKNMS,X2008010700_water_temp_0,3592.5230584,23.5925230584
FKNMS,X2008010800_water_temp_0,4205.0900293,24.205090029300003
FKNMS,X2008010900_water_temp_0,4411.177628,24.411177628
FKNMS,X2008011000_water_temp_0,4274.0757589,24.2740757589
FKNMS,X2008011100_water_temp_0,4331.4996767,24.3314996767
FKNMS,X2008011200_water_temp_0,4240.5230671,24.2405230671
FKNMS,X2008011300_water_temp_0,4458.3879647,24.4583879647
FKNMS,X2008011400_water_temp_0,4459.4118075,24.4594118075
FKNMS,X2008011500_water_temp_0,4077.6945849,24.0776945849
FKNMS,X2008011600_water_temp_0,3787.7328523,23.7877328523
FKNMS,X2008011700_water_temp_0,3778.3357319,23.7783357319
FKNMS,X2008011800_water_temp_0,4001.6818689,24.0016818689
FKNMS,X2008011900_water_temp_0,4205.5252769,24.205525276899998
FKNMS,X2008012000_water_temp_0,4345.9857603,24.3459857603
FKNMS,X2008012100_water_temp_0,3440.366188,23.440366188
FKNMS,X2008012200_water_temp_0,3411.271024,23.411271024
FKNMS,X2008012300_water_temp_0,3254.4872728,23.2544872728
FKNMS,X2008012400_water_temp_0,4289.9840589,24.2899840589
FKNMS,X2008012500_water_temp_0,4187.1842186,24.187184218600002
FKNMS,X2008012600_water_temp_0,3612.9417888,23.6129417888
FKNMS,X2008012700_water_temp_0,4095.7202722,24.0957202722
FKNMS,X2008012800_water_temp_0,3600.7756456,23.6007756456
FKNMS,X2008012900_water_temp_0,3381.5439827,23.381543982700002
FKNMS,X2008013000_water_temp_0,3377.5889964,23.3775889964
FKNMS,X2008013100_water_temp_0,3458.6327232,23.4586327232
FKNMS,X2008020100_water_temp_0,3284.7916336,23.2847916336
FKNMS,X2008020200_water_temp_0,3752.751516,23.752751516
FKNMS,X2008020300_water_temp_0,3837.312188,23.837312188
FKNMS,X2008020400_water_temp_0,3976.6502584,23.9766502584
FKNMS,X2008020500_water_temp_0,4109.0630376,24.109063037600002
FKNMS,X2008020600_water_temp_0,4251.5923358,24.251592335799998
FKNMS,X2008020700_water_temp_0,4570.5659594,24.5705659594
FKNMS,X2008020800_water_temp_0,4820.4894208,24.8204894208
FKNMS,X2008020900_water_temp_0,5259.1415794,25.2591415794
