SANCTUARY,date,SST_0,Temperature
FKNMS,X1999010100_water_temp_0,4485.8746605,24.4858746605
FKNMS,X1999010200_water_temp_0,4684.8329658,24.6848329658
FKNMS,X1999010300_water_temp_0,5078.6263625,25.0786263625
FKNMS,X1999010400_water_temp_0,4993.1116555,24.9931116555
FKNMS,X1999010500_water_temp_0,4342.2858357,24.3422858357
FKNMS,X1999010600_water_temp_0,3506.9921751,23.5069921751
FKNMS,X1999010700_water_temp_0,3226.5969705,23.2265969705
FKNMS,X1999010800_water_temp_0,3428.8891699,23.4288891699
FKNMS,X1999010900_water_temp_0,3987.1030067,23.9871030067
FKNMS,X1999011000_water_temp_0,4628.8366701,24.6288366701
FKNMS,X1999011100_water_temp_0,4104.7032432,24.1047032432
FKNMS,X1999011200_water_temp_0,3595.9669984,23.5959669984
FKNMS,X1999011300_water_temp_0,3777.6297883,23.7776297883
FKNMS,X1999011400_water_temp_0,4047.6970507,24.047697050700002
FKNMS,X1999011500_water_temp_0,4257.2877227,24.2572877227
FKNMS,X1999011600_water_temp_0,4386.5847652,24.3865847652
FKNMS,X1999011700_water_temp_0,4343.0946916,24.3430946916
FKNMS,X1999011800_water_temp_0,4691.4890764,24.6914890764
FKNMS,X1999011900_water_temp_0,5050.5344663,25.0505344663
FKNMS,X1999012000_water_temp_0,4844.5630776,24.8445630776
FKNMS,X1999012100_water_temp_0,4669.8012833,24.6698012833
FKNMS,X1999012200_water_temp_0,4633.3715516,24.6333715516
FKNMS,X1999012300_water_temp_0,4837.6995582,24.8376995582
FKNMS,X1999012400_water_temp_0,4973.2369162,24.9732369162
FKNMS,X1999012500_water_temp_0,4459.6398453,24.4596398453
FKNMS,X1999012600_water_temp_0,3968.4017172,23.9684017172
FKNMS,X1999012700_water_temp_0,4009.3561724,24.0093561724
FKNMS,X1999012800_water_temp_0,4177.5629912,24.1775629912
FKNMS,X1999012900_water_temp_0,4292.4072516,24.2924072516
FKNMS,X1999013000_water_temp_0,4364.6686638,24.3646686638
FKNMS,X1999013100_water_temp_0,4495.7883234,24.4957883234
FKNMS,X1999020100_water_temp_0,4618.5259902,24.6185259902
FKNMS,X1999020200_water_temp_0,4688.7561598,24.6887561598
FKNMS,X1999020300_water_temp_0,4544.0921822,24.5440921822
FKNMS,X1999020400_water_temp_0,4500.8393803,24.5008393803
FKNMS,X1999020500_water_temp_0,4792.2730739,24.7922730739
FKNMS,X1999020600_water_temp_0,4798.7038277,24.7987038277
FKNMS,X1999020700_water_temp_0,4860.5771566,24.8605771566
FKNMS,X1999020800_water_temp_0,5114.3416197,25.1143416197
FKNMS,X1999020900_water_temp_0,5463.6687176,25.4636687176
FKNMS,X1999021000_water_temp_0,5214.1575959,25.2141575959
FKNMS,X1999021100_water_temp_0,5318.4413529,25.318441352900003
FKNMS,X1999021200_water_temp_0,5122.3187896,25.1223187896
FKNMS,X1999021300_water_temp_0,5138.9720661,25.1389720661
FKNMS,X1999021400_water_temp_0,4526.5918729000005,24.5265918729
FKNMS,X1999021500_water_temp_0,3810.5157109,23.8105157109
FKNMS,X1999021600_water_temp_0,3523.9214816,23.5239214816
FKNMS,X1999021700_water_temp_0,3748.8956886,23.7488956886
FKNMS,X1999021800_water_temp_0,3927.4855275,23.9274855275
FKNMS,X1999021900_water_temp_0,3772.1776257,23.7721776257
FKNMS,X1999022000_water_temp_0,3935.7076362,23.9357076362
FKNMS,X1999022100_water_temp_0,3912.343476,23.912343476
FKNMS,X1999022200_water_temp_0,3879.0658914,23.8790658914
FKNMS,X1999022300_water_temp_0,3003.5936894,23.0035936894
FKNMS,X1999022400_water_temp_0,3110.8614691,23.1108614691
