SANCTUARY,date,SST_0,Temperature
FKNMS,X2005010100_water_temp_0,3013.0267436,23.0130267436
FKNMS,X2005010200_water_temp_0,3064.4809288,23.064480928800002
FKNMS,X2005010300_water_temp_0,3283.5243662,23.283524366199998
FKNMS,X2005010400_water_temp_0,3375.6856652,23.3756856652
FKNMS,X2005010500_water_temp_0,3499.1675418,23.4991675418
FKNMS,X2005010600_water_temp_0,3714.5731091,23.7145731091
FKNMS,X2005010700_water_temp_0,3981.4700638,23.9814700638
FKNMS,X2005010800_water_temp_0,3889.9458279,23.8899458279
FKNMS,X2005010900_water_temp_0,3927.4820551,23.9274820551
FKNMS,X2005011000_water_temp_0,3622.2016238,23.6222016238
FKNMS,X2005011100_water_temp_0,3560.5832942,23.5605832942
FKNMS,X2005011200_water_temp_0,3724.4142339,23.7244142339
FKNMS,X2005011300_water_temp_0,3928.7069781,23.9287069781
FKNMS,X2005011400_water_temp_0,4253.1390909,24.2531390909
FKNMS,X2005011500_water_temp_0,4249.8269374,24.2498269374
FKNMS,X2005011600_water_temp_0,3949.0666384,23.9490666384
FKNMS,X2005011700_water_temp_0,3569.5553349,23.569555334900002
FKNMS,X2005011800_water_temp_0,2937.9278533,22.9379278533
FKNMS,X2005011900_water_temp_0,2611.9290803,22.6119290803
FKNMS,X2005012000_water_temp_0,2656.1954196,22.6561954196
FKNMS,X2005012100_water_temp_0,2562.3198662,22.5623198662
FKNMS,X2005012200_water_temp_0,2499.0323591,22.4990323591
FKNMS,X2005012300_water_temp_0,3073.7749826,23.0737749826
FKNMS,X2005012400_water_temp_0,2224.1741586,22.2241741586
FKNMS,X2005012500_water_temp_0,1855.6976004,21.8556976004
FKNMS,X2005012600_water_temp_0,1900.4113756,21.9004113756
FKNMS,X2005012700_water_temp_0,1959.2244987,21.9592244987
FKNMS,X2005012800_water_temp_0,2630.9212161,22.6309212161
FKNMS,X2005012900_water_temp_0,2331.7389106,22.3317389106
FKNMS,X2005013000_water_temp_0,2960.1094416,22.9601094416
FKNMS,X2005013100_water_temp_0,3385.1715878,23.3851715878
FKNMS,X2005020100_water_temp_0,2967.7143279,22.9677143279
FKNMS,X2005020200_water_temp_0,2944.1003113,22.9441003113
FKNMS,X2005020300_water_temp_0,2884.0413761,22.8840413761
FKNMS,X2005020400_water_temp_0,3189.5510006,23.189551000599998
FKNMS,X2005020500_water_temp_0,2641.0672465,22.6410672465
FKNMS,X2005020600_water_temp_0,2285.215587,22.285215587
FKNMS,X2005020700_water_temp_0,2287.9791053,22.2879791053
FKNMS,X2005020800_water_temp_0,2612.5257065,22.6125257065
FKNMS,X2005020900_water_temp_0,2953.2613671,22.9532613671
FKNMS,X2005021000_water_temp_0,3005.7055367,23.0057055367
FKNMS,X2005021100_water_temp_0,2803.0165396,22.8030165396
FKNMS,X2005021200_water_temp_0,1844.4648279,21.8444648279
FKNMS,X2005021300_water_temp_0,1616.6502978,21.6166502978
FKNMS,X2005021400_water_temp_0,1686.7573774,21.6867573774
FKNMS,X2005021500_water_temp_0,2358.6129684000002,22.3586129684
FKNMS,X2005021600_water_temp_0,2417.8477984,22.4178477984
FKNMS,X2005021700_water_temp_0,3046.9269206,23.0469269206
FKNMS,X2005021800_water_temp_0,3446.1111274,23.446111127400002
FKNMS,X2005021900_water_temp_0,2696.6779763,22.696677976300002
FKNMS,X2005022000_water_temp_0,2685.2694056,22.6852694056
FKNMS,X2005022100_water_temp_0,2894.3828868,22.8943828868
FKNMS,X2005022200_water_temp_0,3151.2858713,23.1512858713
FKNMS,X2005022300_water_temp_0,3072.3407878,23.0723407878
FKNMS,X2005022400_water_temp_0,2789.4599083,22.7894599083
FKNMS,X2005022500_water_temp_0,3217.8465274,23.2178465274
FKNMS,X2005022600_water_temp_0,2738.6986793,22.7386986793
FKNMS,X2005022700_water_temp_0,2806.2400742,22.8062400742
FKNMS,X2005022800_water_temp_0,3162.8873451,23.1628873451
FKNMS,X2005030100_water_temp_0,3096.0853954,23.0960853954
FKNMS,X2005030200_water_temp_0,2695.4483894,22.6954483894
FKNMS,X2005030300_water_temp_0,2471.6589447,22.4716589447
FKNMS,X2005030400_water_temp_0,2261.9686172,22.2619686172
FKNMS,X2005030500_water_temp_0,2253.3501473,22.2533501473
FKNMS,X2005030600_water_temp_0,2084.3758355,22.0843758355
FKNMS,X2005030700_water_temp_0,2075.9987559,22.0759987559
FKNMS,X2005030800_water_temp_0,1932.4276553,21.9324276553
FKNMS,X2005030900_water_temp_0,1759.7889477,21.7597889477
FKNMS,X2005031000_water_temp_0,1479.1647513,21.4791647513
FKNMS,X2005031100_water_temp_0,1592.530487,21.592530487
