SANCTUARY,date,SST_0,Temperature
FKNMS,X2010010100_water_temp_0,4147.9566903,24.1479566903
FKNMS,X2010010200_water_temp_0,3729.6739266,23.7296739266
FKNMS,X2010010300_water_temp_0,2994.2547333,22.9942547333
FKNMS,X2010010400_water_temp_0,2650.0357118,22.6500357118
FKNMS,X2010010500_water_temp_0,2050.4222543,22.0504222543
FKNMS,X2010010600_water_temp_0,1642.7486156,21.6427486156
FKNMS,X2010010700_water_temp_0,1115.6860505,21.1156860505
FKNMS,X2010010800_water_temp_0,1162.9784363,21.1629784363
FKNMS,X2010010900_water_temp_0,1499.5555948,21.4995555948
FKNMS,X2010011000_water_temp_0,800.2747226,20.8002747226
FKNMS,X2010011100_water_temp_0,-355.7301451,19.6442698549
FKNMS,X2010011200_water_temp_0,-393.6796178,19.6063203822
FKNMS,X2010011300_water_temp_0,-300.4251831,19.6995748169
FKNMS,X2010011400_water_temp_0,-184.6844207,19.815315579299998
FKNMS,X2010011500_water_temp_0,870.5936277,20.8705936277
FKNMS,X2010011600_water_temp_0,2264.6628539,22.2646628539
FKNMS,X2010011700_water_temp_0,3303.7250888,23.3037250888
FKNMS,X2010011800_water_temp_0,3372.8865488,23.3728865488
FKNMS,X2010011900_water_temp_0,3339.2489598,23.3392489598
FKNMS,X2010012000_water_temp_0,3020.4318347,23.0204318347
FKNMS,X2010012100_water_temp_0,3031.3807111,23.0313807111
FKNMS,X2010012200_water_temp_0,3355.5320164,23.3555320164
FKNMS,X2010012300_water_temp_0,3630.0804368,23.6300804368
FKNMS,X2010012400_water_temp_0,3919.5284247,23.9195284247
FKNMS,X2010012500_water_temp_0,3961.3317139,23.9613317139
FKNMS,X2010012600_water_temp_0,3690.0633785,23.6900633785
FKNMS,X2010012700_water_temp_0,3001.1094647,23.0011094647
FKNMS,X2010012800_water_temp_0,2893.526918,22.893526918
FKNMS,X2010012900_water_temp_0,2997.9160783,22.9979160783
FKNMS,X2010013000_water_temp_0,3208.3013241,23.2083013241
FKNMS,X2010013100_water_temp_0,3556.0765954,23.5560765954
FKNMS,X2010020100_water_temp_0,3205.4636634,23.2054636634
FKNMS,X2010020200_water_temp_0,3414.9174122,23.4149174122
FKNMS,X2010020300_water_temp_0,3668.6872517,23.6686872517
FKNMS,X2010020400_water_temp_0,3244.9979543,23.2449979543
FKNMS,X2010020500_water_temp_0,3256.2698382,23.2562698382
FKNMS,X2010020600_water_temp_0,3501.1373774,23.5011373774
FKNMS,X2010020700_water_temp_0,3293.6819863,23.2936819863
FKNMS,X2010020800_water_temp_0,2535.0123493,22.5350123493
FKNMS,X2010020900_water_temp_0,2384.6490438,22.3846490438
FKNMS,X2010021000_water_temp_0,2560.9949956,22.5609949956
FKNMS,X2010021100_water_temp_0,1896.5750727,21.8965750727
FKNMS,X2010021200_water_temp_0,1645.9439902,21.6459439902
FKNMS,X2010021300_water_temp_0,2214.531838,22.214531838
FKNMS,X2010021400_water_temp_0,1123.3617841,21.1233617841
FKNMS,X2010021500_water_temp_0,949.9421563,20.9499421563
FKNMS,X2010021600_water_temp_0,1485.9804471,21.4859804471
FKNMS,X2010021700_water_temp_0,908.6590754,20.9086590754
FKNMS,X2010021800_water_temp_0,680.2716472,20.6802716472
FKNMS,X2010021900_water_temp_0,618.4428933,20.6184428933
FKNMS,X2010022000_water_temp_0,367.4636221,20.3674636221
FKNMS,X2010022100_water_temp_0,821.9118933,20.8219118933
FKNMS,X2010022200_water_temp_0,1388.9687392,21.3889687392
FKNMS,X2010022300_water_temp_0,2166.3583541,22.166358354099998
FKNMS,X2010022400_water_temp_0,2871.011048,22.871011048
FKNMS,X2010022500_water_temp_0,2913.5914319,22.9135914319
FKNMS,X2010022600_water_temp_0,1289.3177216,21.2893177216
FKNMS,X2010022700_water_temp_0,1019.2118733,21.0192118733
FKNMS,X2010022800_water_temp_0,531.6986687,20.5316986687
FKNMS,X2010030100_water_temp_0,116.0521192,20.1160521192
FKNMS,X2010030200_water_temp_0,194.522378,20.194522378
FKNMS,X2010030300_water_temp_0,302.4496722,20.3024496722
FKNMS,X2010030400_water_temp_0,-485.2741032,19.5147258968
FKNMS,X2010030500_water_temp_0,-802.5401102,19.1974598898
FKNMS,X2010030600_water_temp_0,-1087.3298853,18.9126701147
FKNMS,X2010030700_water_temp_0,-1007.2053042,18.9927946958
FKNMS,X2010030800_water_temp_0,-816.5755064,19.1834244936
FKNMS,X2010030900_water_temp_0,-248.6118512,19.7513881488
FKNMS,X2010031000_water_temp_0,-451.0166987,19.5489833013
FKNMS,X2010031100_water_temp_0,241.4023578,20.2414023578
FKNMS,X2010031200_water_temp_0,1036.0865872,21.0360865872
FKNMS,X2010031300_water_temp_0,1036.3834353,21.0363834353
FKNMS,X2010031400_water_temp_0,499.3630274,20.4993630274
FKNMS,X2010031500_water_temp_0,732.8461842,20.7328461842
FKNMS,X2010031600_water_temp_0,861.4684803,20.8614684803
FKNMS,X2010031700_water_temp_0,786.8316107,20.7868316107
FKNMS,X2010031800_water_temp_0,721.5535722,20.7215535722
FKNMS,X2010031900_water_temp_0,795.6279893,20.7956279893
FKNMS,X2010032000_water_temp_0,964.8331446,20.9648331446
FKNMS,X2010032100_water_temp_0,1403.9990086,21.4039990086
FKNMS,X2010032200_water_temp_0,2169.5812992,22.1695812992
FKNMS,X2010032300_water_temp_0,1594.7639263,21.5947639263
FKNMS,X2010032400_water_temp_0,1354.4876183,21.3544876183
FKNMS,X2010032500_water_temp_0,1299.0979451,21.2990979451
FKNMS,X2010032600_water_temp_0,1584.1453144,21.5841453144
FKNMS,X2010032700_water_temp_0,2097.180745,22.097180745
FKNMS,X2010032800_water_temp_0,2295.5196523,22.2955196523
FKNMS,X2010032900_water_temp_0,2697.8419067,22.6978419067
FKNMS,X2010033000_water_temp_0,2364.6197954,22.3646197954
FKNMS,X2010033100_water_temp_0,1842.9366771,21.8429366771
FKNMS,X2010040100_water_temp_0,1942.3240364,21.9423240364
FKNMS,X2010040200_water_temp_0,2067.06202,22.06706202
FKNMS,X2010040300_water_temp_0,2351.4406816,22.3514406816
FKNMS,X2010040400_water_temp_0,2831.6042385,22.8316042385
FKNMS,X2010040500_water_temp_0,3110.5344652,23.1105344652
FKNMS,X2010040600_water_temp_0,3297.5361218,23.2975361218
FKNMS,X2010040700_water_temp_0,3299.8516841,23.2998516841
FKNMS,X2010040800_water_temp_0,3578.9865748,23.578986574800002
FKNMS,X2010040900_water_temp_0,4044.7916651,24.0447916651
FKNMS,X2010041000_water_temp_0,4468.6104416,24.4686104416
FKNMS,X2010041100_water_temp_0,5193.0018036,25.1930018036
FKNMS,X2010041200_water_temp_0,4679.7663209,24.6797663209
FKNMS,X2010041300_water_temp_0,4482.9553663,24.4829553663
FKNMS,X2010041400_water_temp_0,4493.5138546,24.4935138546
FKNMS,X2010041500_water_temp_0,4246.1504059,24.2461504059
FKNMS,X2010041600_water_temp_0,4289.1772007,24.2891772007
FKNMS,X2010041700_water_temp_0,4380.7935873,24.380793587299998
FKNMS,X2010041800_water_temp_0,4260.825377,24.260825377
FKNMS,X2010041900_water_temp_0,4448.8581914,24.4488581914
FKNMS,X2010042000_water_temp_0,4693.1677737,24.6931677737
FKNMS,X2010042100_water_temp_0,5843.9112864,25.8439112864
FKNMS,X2010042200_water_temp_0,5171.8277579,25.1718277579
FKNMS,X2010042300_water_temp_0,5342.8325294,25.3428325294
FKNMS,X2010042400_water_temp_0,5097.2535267,25.0972535267
FKNMS,X2010042500_water_temp_0,5155.2791413,25.1552791413
FKNMS,X2010042600_water_temp_0,5568.6667707,25.5686667707
FKNMS,X2010042700_water_temp_0,5638.9694628,25.6389694628
FKNMS,X2010042800_water_temp_0,5893.1163186,25.8931163186
FKNMS,X2010042900_water_temp_0,6182.3975576,26.1823975576
FKNMS,X2010043000_water_temp_0,5485.0863985,25.485086398500002
FKNMS,X2010050100_water_temp_0,5413.676561,25.413676561
FKNMS,X2010050200_water_temp_0,5816.9039605,25.8169039605
FKNMS,X2010050300_water_temp_0,6054.3314465,26.0543314465
FKNMS,X2010050400_water_temp_0,6388.8730652,26.388873065200002
FKNMS,X2010050500_water_temp_0,6867.5538764,26.867553876400002
FKNMS,X2010050600_water_temp_0,8121.7311797,28.1217311797
FKNMS,X2010050700_water_temp_0,8446.1541462,28.4461541462
