SANCTUARY,date,SST_0,Temperature
FKNMS,X2009010100_water_temp_0,3841.9017219,23.8419017219
FKNMS,X2009010200_water_temp_0,3533.5475904,23.5335475904
FKNMS,X2009010300_water_temp_0,3544.8255255,23.5448255255
FKNMS,X2009010400_water_temp_0,3607.7434377,23.6077434377
FKNMS,X2009010500_water_temp_0,3687.2368507,23.6872368507
FKNMS,X2009010600_water_temp_0,3714.5215067,23.7145215067
FKNMS,X2009010700_water_temp_0,3768.1818327,23.7681818327
FKNMS,X2009010800_water_temp_0,3845.4329363,23.8454329363
FKNMS,X2009010900_water_temp_0,3610.0392349,23.6100392349
FKNMS,X2009011000_water_temp_0,3365.5626067,23.3655626067
FKNMS,X2009011100_water_temp_0,3468.1800029,23.4681800029
FKNMS,X2009011200_water_temp_0,3800.3648765,23.800364876499998
FKNMS,X2009011300_water_temp_0,3625.1274091,23.6251274091
FKNMS,X2009011400_water_temp_0,3384.3050727,23.384305072700002
FKNMS,X2009011500_water_temp_0,2872.2586088,22.8722586088
FKNMS,X2009011600_water_temp_0,2304.8786046,22.3048786046
FKNMS,X2009011700_water_temp_0,2098.4894837,22.0984894837
FKNMS,X2009011800_water_temp_0,2009.5753545,22.0095753545
FKNMS,X2009011900_water_temp_0,2088.7245023,22.0887245023
FKNMS,X2009012000_water_temp_0,1693.8216659,21.6938216659
FKNMS,X2009012100_water_temp_0,1155.9025281,21.1559025281
FKNMS,X2009012200_water_temp_0,677.1615979,20.6771615979
FKNMS,X2009012300_water_temp_0,494.6054064,20.4946054064
FKNMS,X2009012400_water_temp_0,428.0751069,20.4280751069
FKNMS,X2009012500_water_temp_0,388.9558114,20.3889558114
FKNMS,X2009012600_water_temp_0,448.8361173,20.4488361173
FKNMS,X2009012700_water_temp_0,782.1393564,20.7821393564
FKNMS,X2009012800_water_temp_0,1368.7865515,21.3687865515
FKNMS,X2009012900_water_temp_0,1875.9790538,21.875979053800002
FKNMS,X2009013000_water_temp_0,2690.9396806,22.6909396806
FKNMS,X2009013100_water_temp_0,1786.1681109,21.7861681109
FKNMS,X2009020100_water_temp_0,882.7147587,20.8827147587
FKNMS,X2009020200_water_temp_0,1006.127597,21.006127597
FKNMS,X2009020300_water_temp_0,1418.5325865,21.4185325865
FKNMS,X2009020400_water_temp_0,726.0249752,20.7260249752
FKNMS,X2009020500_water_temp_0,42.0491165,20.0420491165
FKNMS,X2009020600_water_temp_0,-599.0517816,19.4009482184
FKNMS,X2009020700_water_temp_0,-464.2970216,19.5357029784
FKNMS,X2009020800_water_temp_0,44.5741043,20.0445741043
FKNMS,X2009020900_water_temp_0,444.4060469,20.4444060469
FKNMS,X2009021000_water_temp_0,891.1740218,20.8911740218
FKNMS,X2009021100_water_temp_0,1363.3363251,21.3633363251
FKNMS,X2009021200_water_temp_0,1924.5147869,21.9245147869
FKNMS,X2009021300_water_temp_0,2869.23712,22.86923712
FKNMS,X2009021400_water_temp_0,2277.5590073,22.2775590073
FKNMS,X2009021500_water_temp_0,2185.3286954,22.1853286954
FKNMS,X2009021600_water_temp_0,2899.3723312,22.8993723312
FKNMS,X2009021700_water_temp_0,2136.3401233,22.136340123300002
FKNMS,X2009021800_water_temp_0,2198.4232824,22.1984232824
FKNMS,X2009021900_water_temp_0,2548.908627,22.548908627
FKNMS,X2009022000_water_temp_0,2531.9217616,22.5319217616
FKNMS,X2009022100_water_temp_0,1948.4412491,21.9484412491
FKNMS,X2009022200_water_temp_0,1825.7836629,21.8257836629
FKNMS,X2009022300_water_temp_0,2152.5073019,22.152507301900002
FKNMS,X2009022400_water_temp_0,1904.1752398,21.9041752398
FKNMS,X2009022500_water_temp_0,1809.1609338,21.8091609338
FKNMS,X2009022600_water_temp_0,1919.3561224,21.9193561224
FKNMS,X2009022700_water_temp_0,1902.2198273,21.9022198273
FKNMS,X2009022800_water_temp_0,2209.9798338,22.2099798338
FKNMS,X2009030100_water_temp_0,2672.3398263,22.6723398263
FKNMS,X2009030200_water_temp_0,2381.3898645,22.3813898645
FKNMS,X2009030300_water_temp_0,1374.8446718,21.3748446718
FKNMS,X2009030400_water_temp_0,928.9896241,20.9289896241
FKNMS,X2009030500_water_temp_0,1075.6418956,21.0756418956
FKNMS,X2009030600_water_temp_0,1336.2900726,21.3362900726
FKNMS,X2009030700_water_temp_0,1680.6515479,21.6806515479
FKNMS,X2009030800_water_temp_0,2063.5719177,22.0635719177
FKNMS,X2009030900_water_temp_0,2377.9205762,22.3779205762
FKNMS,X2009031000_water_temp_0,2911.1269529,22.9111269529
FKNMS,X2009031100_water_temp_0,3009.2222481,23.0092222481
FKNMS,X2009031200_water_temp_0,3056.2601294,23.056260129400002
FKNMS,X2009031300_water_temp_0,2850.0478879,22.8500478879
FKNMS,X2009031400_water_temp_0,2873.9228917,22.8739228917
FKNMS,X2009031500_water_temp_0,3131.631539,23.131631539
FKNMS,X2009031600_water_temp_0,3389.9376428,23.3899376428
FKNMS,X2009031700_water_temp_0,3981.6210619,23.9816210619
FKNMS,X2009031800_water_temp_0,4490.167388,24.490167388
FKNMS,X2009031900_water_temp_0,3782.992449,23.782992448999998
FKNMS,X2009032000_water_temp_0,4054.4036284,24.0544036284
FKNMS,X2009032100_water_temp_0,4144.5795206,24.1445795206
FKNMS,X2009032200_water_temp_0,4295.0969904,24.2950969904
FKNMS,X2009032300_water_temp_0,3891.9783488,23.8919783488
FKNMS,X2009032400_water_temp_0,3916.7117712,23.9167117712
FKNMS,X2009032500_water_temp_0,3934.0802496,23.9340802496
FKNMS,X2009032600_water_temp_0,3985.2246097,23.9852246097
FKNMS,X2009032700_water_temp_0,3999.6565353,23.9996565353
