SANCTUARY,date,SST_0,Temperature
FKNMS,X2003010100_water_temp_0,4117.8174528,24.1178174528
FKNMS,X2003010200_water_temp_0,4215.3127979,24.2153127979
FKNMS,X2003010300_water_temp_0,4317.8485504,24.3178485504
FKNMS,X2003010400_water_temp_0,3820.5673808,23.8205673808
FKNMS,X2003010500_water_temp_0,3053.9093687,23.0539093687
FKNMS,X2003010600_water_temp_0,2794.2897794,22.7942897794
FKNMS,X2003010700_water_temp_0,2350.7811376,22.3507811376
FKNMS,X2003010800_water_temp_0,1759.2641708,21.7592641708
FKNMS,X2003010900_water_temp_0,1545.5849228,21.5455849228
FKNMS,X2003011000_water_temp_0,1317.027202,21.317027202
FKNMS,X2003011100_water_temp_0,1667.5550781,21.6675550781
FKNMS,X2003011200_water_temp_0,2415.0400847,22.4150400847
FKNMS,X2003011300_water_temp_0,2316.5683669,22.3165683669
FKNMS,X2003011400_water_temp_0,2549.7228586,22.5497228586
FKNMS,X2003011500_water_temp_0,2165.2919858,22.1652919858
FKNMS,X2003011600_water_temp_0,1876.880051,21.876880051
FKNMS,X2003011700_water_temp_0,2198.8185496,22.1988185496
FKNMS,X2003011800_water_temp_0,1507.0650647,21.5070650647
FKNMS,X2003011900_water_temp_0,602.2350596,20.6022350596
FKNMS,X2003012000_water_temp_0,296.6206842,20.2966206842
FKNMS,X2003012100_water_temp_0,249.9638761,20.2499638761
FKNMS,X2003012200_water_temp_0,252.214119,20.252214119
FKNMS,X2003012300_water_temp_0,475.9145804,20.4759145804
FKNMS,X2003012400_water_temp_0,-212.8436501,19.7871563499
FKNMS,X2003012500_water_temp_0,-773.2210286,19.2267789714
FKNMS,X2003012600_water_temp_0,-554.5046015,19.4454953985
FKNMS,X2003012700_water_temp_0,-33.2093191,19.9667906809
FKNMS,X2003012800_water_temp_0,-405.8863719,19.5941136281
FKNMS,X2003012900_water_temp_0,-54.7084389,19.9452915611
FKNMS,X2003013000_water_temp_0,610.7414806,20.6107414806
FKNMS,X2003013100_water_temp_0,558.4935865,20.5584935865
