SANCTUARY,date,SST_0,Temperature
FKNMS,X1997010100_water_temp_0,4658.6294936,24.6586294936
FKNMS,X1997010200_water_temp_0,4715.5376118,24.715537611800002
FKNMS,X1997010300_water_temp_0,4816.9434295,24.8169434295
FKNMS,X1997010400_water_temp_0,4891.6403393,24.8916403393
FKNMS,X1997010500_water_temp_0,4711.6589451,24.711658945099998
FKNMS,X1997010600_water_temp_0,4789.2458155,24.7892458155
FKNMS,X1997010700_water_temp_0,4875.9871328,24.8759871328
FKNMS,X1997010800_water_temp_0,5329.3875123,25.329387512300002
FKNMS,X1997010900_water_temp_0,5257.1105876,25.2571105876
FKNMS,X1997011000_water_temp_0,5050.8156295,25.0508156295
FKNMS,X1997011100_water_temp_0,4366.7362421,24.3667362421
FKNMS,X1997011200_water_temp_0,3916.1935747000002,23.9161935747
FKNMS,X1997011300_water_temp_0,3880.975903,23.880975903
FKNMS,X1997011400_water_temp_0,3871.9624619,23.8719624619
FKNMS,X1997011500_water_temp_0,3883.9105352,23.883910535200002
FKNMS,X1997011600_water_temp_0,4068.4269712,24.0684269712
FKNMS,X1997011700_water_temp_0,4076.2700004,24.0762700004
FKNMS,X1997011800_water_temp_0,3243.9123354,23.2439123354
FKNMS,X1997011900_water_temp_0,2275.4573432,22.2754573432
FKNMS,X1997012000_water_temp_0,1777.4137668,21.7774137668
FKNMS,X1997012100_water_temp_0,2037.5859517,22.0375859517
FKNMS,X1997012200_water_temp_0,1979.7614847,21.9797614847
FKNMS,X1997012300_water_temp_0,2642.3834959,22.6423834959
FKNMS,X1997012400_water_temp_0,3094.6518071,23.0946518071
FKNMS,X1997012500_water_temp_0,3486.8987984,23.4868987984
FKNMS,X1997012600_water_temp_0,3762.6018227,23.7626018227
FKNMS,X1997012700_water_temp_0,3618.5131197,23.6185131197
FKNMS,X1997012800_water_temp_0,3834.9182828,23.8349182828
FKNMS,X1997012900_water_temp_0,3923.8952184,23.9238952184
FKNMS,X1997013000_water_temp_0,4232.4039004,24.2324039004
FKNMS,X1997013100_water_temp_0,4224.7596455,24.2247596455
FKNMS,X1997020100_water_temp_0,3441.4392792,23.4414392792
FKNMS,X1997020200_water_temp_0,3147.6800107,23.1476800107
FKNMS,X1997020300_water_temp_0,3232.73784,23.23273784
FKNMS,X1997020400_water_temp_0,3525.3041741,23.5253041741
FKNMS,X1997020500_water_temp_0,4074.6736167,24.0746736167
FKNMS,X1997020600_water_temp_0,4547.6210312,24.547621031200002
FKNMS,X1997020700_water_temp_0,4670.1830916,24.670183091600002
FKNMS,X1997020800_water_temp_0,4513.4915154,24.5134915154
FKNMS,X1997020900_water_temp_0,5045.5602742,25.0455602742
FKNMS,X1997021000_water_temp_0,4628.4754698,24.6284754698
FKNMS,X1997021100_water_temp_0,4036.1459902,24.0361459902
FKNMS,X1997021200_water_temp_0,3506.855338,23.506855338
FKNMS,X1997021300_water_temp_0,3686.6555003,23.6866555003
FKNMS,X1997021400_water_temp_0,4331.518734,24.331518734
FKNMS,X1997021500_water_temp_0,4473.7510921,24.473751092100002
FKNMS,X1997021600_water_temp_0,4638.0711973,24.6380711973
FKNMS,X1997021700_water_temp_0,4325.8288687,24.3258288687
FKNMS,X1997021800_water_temp_0,3853.8180987,23.8538180987
FKNMS,X1997021900_water_temp_0,3986.5173058,23.9865173058
FKNMS,X1997022000_water_temp_0,3934.2239233,23.9342239233
FKNMS,X1997022100_water_temp_0,4257.2147884,24.2572147884
FKNMS,X1997022200_water_temp_0,4477.6766409,24.4776766409
FKNMS,X1997022300_water_temp_0,4951.23513,24.95123513
FKNMS,X1997022400_water_temp_0,5032.1647957,25.032164795699998
FKNMS,X1997022500_water_temp_0,5049.4779451,25.0494779451
FKNMS,X1997022600_water_temp_0,5165.2256845,25.1652256845
FKNMS,X1997022700_water_temp_0,5029.9102927,25.029910292700002
FKNMS,X1997022800_water_temp_0,5079.3770584,25.0793770584
FKNMS,X1997030100_water_temp_0,5249.9340939,25.249934093900002
FKNMS,X1997030200_water_temp_0,5121.8401072,25.1218401072
FKNMS,X1997030300_water_temp_0,5281.6539225,25.2816539225
FKNMS,X1997030400_water_temp_0,5475.605292,25.475605292
FKNMS,X1997030500_water_temp_0,5464.9824784,25.4649824784
FKNMS,X1997030600_water_temp_0,5402.9359441,25.4029359441
FKNMS,X1997030700_water_temp_0,5616.5062483,25.6165062483
FKNMS,X1997030800_water_temp_0,5215.7393785,25.2157393785
FKNMS,X1997030900_water_temp_0,5056.3543861,25.0563543861
FKNMS,X1997031000_water_temp_0,4966.398588,24.966398588
FKNMS,X1997031100_water_temp_0,4849.5481488,24.8495481488
FKNMS,X1997031200_water_temp_0,4939.7294113,24.9397294113
FKNMS,X1997031300_water_temp_0,5376.8514458,25.3768514458
FKNMS,X1997031400_water_temp_0,5325.3389686,25.3253389686
FKNMS,X1997031500_water_temp_0,5334.3123687,25.3343123687
FKNMS,X1997031600_water_temp_0,5473.4368289,25.4734368289
FKNMS,X1997031700_water_temp_0,5481.6700609,25.4816700609
FKNMS,X1997031800_water_temp_0,5272.2544783,25.2722544783
FKNMS,X1997031900_water_temp_0,5234.1453314,25.2341453314
FKNMS,X1997032000_water_temp_0,5517.2572389,25.5172572389
FKNMS,X1997032100_water_temp_0,5591.629766,25.591629766
FKNMS,X1997032200_water_temp_0,5017.3479751,25.0173479751
FKNMS,X1997032300_water_temp_0,4833.6175137,24.8336175137
FKNMS,X1997032400_water_temp_0,4974.1894624,24.9741894624
FKNMS,X1997032500_water_temp_0,5866.0536341,25.8660536341
FKNMS,X1997032600_water_temp_0,5294.2014193,25.294201419300002
FKNMS,X1997032700_water_temp_0,5889.949084,25.889949084
FKNMS,X1997032800_water_temp_0,6684.5634761,26.6845634761
FKNMS,X1997032900_water_temp_0,7201.267899,27.201267899
FKNMS,X1997033000_water_temp_0,7052.7491331,27.0527491331
FKNMS,X1997033100_water_temp_0,7507.7423402,27.5077423402
FKNMS,X1997040100_water_temp_0,6678.7538584,26.6787538584
FKNMS,X1997040200_water_temp_0,6131.4003617,26.1314003617
FKNMS,X1997040300_water_temp_0,5868.3520264,25.8683520264
FKNMS,X1997040400_water_temp_0,5490.2382183,25.4902382183
FKNMS,X1997040500_water_temp_0,5336.9740448,25.3369740448
FKNMS,X1997040600_water_temp_0,5279.9547389,25.2799547389
FKNMS,X1997040700_water_temp_0,5302.868365,25.302868365000002
FKNMS,X1997040800_water_temp_0,5634.7042672,25.6347042672
FKNMS,X1997040900_water_temp_0,6108.9360278,26.1089360278
